Headline,Body ID,Stance,Class
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",2067,agree,1
"RCMP release security footage of Michael Zehaf Bibeau during attack, say he shot soldier in back",1380,agree,1
Government fires employee who skipped work for 24 years,2134,agree,1
Christian Bale Exits Steve Jobs Movie (Exclusive),755,agree,1
Pentagon: ISIS Got U.S. Weapons Package,1485,agree,1
ISIS Beheads American Journalist,2450,agree,1
The Chinese Guide to Avoiding a Bad English Name,1789,agree,1
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",1400,agree,1
Jilted lover chops off his penis after girlfriend dumps him,1799,agree,1
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",1554,agree,1
Breaking: Soldier shot at National War Memorial in Ottawa,2156,agree,1
Seth Rogen to play Steve Wozniak alongside Christian Bale's Steve Jobs,999,agree,1
"Obama, Outraged Over Beheading, Vows to Stay on Course",1658,agree,1
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,2060,agree,1
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",966,agree,1
"Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral",1545,agree,1
Michael Phelps' girlfriend was born male but did not tell swimmer about her past,862,agree,1
Sugarhill Gang rapper Big Bank Hank dead at 57,2351,agree,1
"Calm down everyone, Banksy hasn't been arrested: 9 clues that it's a hoax",2362,agree,1
Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico,1764,agree,1
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",26,agree,1
Banksy arrest hoax: US website claims street artist caught in Watford,1739,agree,1
Mystery man slaps shoppers around head for sneezing,1897,agree,1
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",1846,agree,1
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,2281,agree,1
Lynch mob use butcher's meat cleaver to castrate rapist they caught attacking teenage girl in alleyway in Indian city,830,agree,1
MACAULAY CULKIN IS THE LATEST VICTIM OF A CELEBRITY DEATH HOAX — AND THESE 9 STARS KNOW EXACTLY HOW HE FEELS!,2326,agree,1
"Sorry, Fido. Pope Francis did NOT say our pets are going to heaven",1832,agree,1
The iPhone 6 'Hairgate' Is Not a Thing,1041,agree,1
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,666,agree,1
James Foley remembered as 'brave and tireless' journalist,1336,agree,1
Man chops off his own penis after girlfriend told him he was no good in bed,1517,agree,1
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",2468,agree,1
"Dead for 48 minutes, this Catholic Priest claims God is female",1849,agree,1
Watch US Marine get shot in HEAD by Taliban sniper - and live to tell tale,2360,agree,1
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,2386,agree,1
US confirms death of Somalia terror group leader,2374,agree,1
Italian fisherman catches monstrous 280-pound catfish,18,agree,1
ISIL Beheads American Photojournalist in Iraq,205,agree,1
Saudis Say Michelle Obama Not Blurred on TV,343,agree,1
Report: Christian Bale Just Bailed on the Steve Jobs Movie,454,agree,1
Chugging eggnog at office party lands man in hospital,741,agree,1
Elderly Woman Arrested for Kidnapping Neighbor's Cats & Making Fur Coats,1938,agree,1
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',756,agree,1
"Pumpkin Spice Condoms, And 6 Other Flavors That Aren’t Happening",2055,agree,1
Lynch Mob Castrates Alleged Rapist In Rajasthan,650,agree,1
"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",1182,agree,1
Dog abandoned at Ayr station with belongings in suitcase,1544,agree,1
US drones hunt Isis leader in Syria,1740,agree,1
"Prankster Gives Homeless Man $100, Secretly Follows Him And Learns He Buys Food For Others",2061,agree,1
"Tee-off in your own putting paradise: Swedish luxury island owned by Tiger Woods up for sale - and it comes with a villa, a hot tub and a lodge",1375,agree,1
"In Vogue vs Rats War, the Rats Are Winning",2498,agree,1
Founding Fathers-Era Time Capsule Found in Boston,2257,agree,1
Mexico Says Missing Students Not Found In First Mass Graves,1795,agree,1
"Tiger Woods is not on suspension for failing a drug test, his agent and a PGA official say",1339,agree,1
WATCH: Stan Beaton cries tears of joy when phone engineers find treasured voicemail recording of his late wife he thought was lost forever,1640,agree,1
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",2024,agree,1
Shocking picture shows mother trying to sell her own son to pay for twin daughter's cancer treatment,1627,agree,1
Macaulay Culkin Victim of Another Online Death Hoax,1752,agree,1
Woman Dumped by Boyfriend Spends Entire Week Mourning at KFC,2414,agree,1
Angry mob hacks off alleged rapist's genitals with meat cleaver after dragging him into butchers,1022,agree,1
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2067,agree,1
"No, a bird didn't poop on Vladimir Putin",1438,agree,1
"Dead for 48 minutes, this Catholic Priest claims God is female",1407,agree,1
Angry mob chops off man's genitals with butcher’s knife for alleged rape attempt,830,agree,1
GRAPHIC CONTENT: Girl sneers at man's tiny penis so he CHOPS IT OFF and bins it,2496,agree,1
Constipated goldfish operated on by North Walsham vet,1541,agree,1
Sugarhill Gang Rapper ‘Big Bank Hank’ Dies at 57,824,agree,1
Ottawa gunman identified as 32-year-old Michael Zehaf-Bibeau,1970,agree,1
Web of confusion as scientists cast doubt on man's claims that a spider burrowed into his stomach through his SCAR,2042,agree,1
Crank-Boosting Behind Top Apps in App Store,1384,agree,1
How did a Texas plumber's truck end up with Syrian rebels? (+video),2379,agree,1
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',1976,agree,1
More American Weapons for ISIS,1949,agree,1
"Man cuts off manhood, throws it in the bin, after girlfriend leaves over small penis",1410,agree,1
"Hundreds of dog-lovers from around the world offer home to pet abandoned at the railway station with a suitcase containing his pillow, toy, bowl and favourite food",2523,agree,1
"Ann Arbor pizza delivery driver surprised with $2,000 tip",623,agree,1
Macaulay Culkin Dead: Actor Once Again Victim Of Death Hoax,2341,agree,1
"ISIS beheads American photo-journalist James Wright Foley, threatens more to come",2450,agree,1
The Unluckiest Man In The World Set His College On Fire With A Fireworks Marriage Proposal,1592,agree,1
CPWD official sacked for absence from duty for 25 years,829,agree,1
Nun gives birth to surprise baby after complaining of stomach pains,1412,agree,1
Homeland Security: No ISIL fighters on U.S. border,1890,agree,1
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,1752,agree,1
The “Flood Libel” Propagandists of 2015,1965,agree,1
James Foley remembered as 'brave and tireless' journalist,1966,agree,1
Knightscope Security Robots Are Keeping Microsoft Campuses Safe (and They Look Really Scary),2529,agree,1
Caught a catfish record in Po: 127 kg and 2.67 meters,2161,agree,1
Speeding Up ‘Seinfeld’ For Younger Viewers,1260,agree,1
Spider burrowed through tourist's stomach and up into his chest,1478,agree,1
Priest who died for 48 minutes says he met God and she’s a woman,2515,agree,1
Dumped woman spends a week in KFC to get over ex,2414,agree,1
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1407,agree,1
Ottawa shooting: Sergeant-at-arms Kevin Vickers hailed a hero for shooting rampaging gunman,1666,agree,1
"Boy, 16, secretly films sex with teacher then uploads it to WhatsApp",1018,agree,1
Kim Jong-Un's Scottish Dog Meat Restaurant Is Probably Fabricated Shite,1222,agree,1
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,2055,agree,1
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,1795,agree,1
Vice CEO Throws Down $300K on Lavish Vegas Dinner,1834,agree,1
Brian Williams Demands Apology From Social Media Over Erroneous Urination Reports (Video),2034,agree,1
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",760,agree,1
China: Satirical site warns citizens over name choices,1137,agree,1
British hostage David Haines beheaded by Islamic State terrorists,2440,agree,1
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1860,agree,1
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1336,agree,1
Seven girls as young as 13 become pregnant on a school trip,397,agree,1
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1883,agree,1
Man who skipped work for 24 years is finally fired,829,agree,1
Pentagon: 1 weapons bundle seized by militants,2307,agree,1
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",724,agree,1
Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1423,agree,1
"Everybody Relax, Banksy Wasn’t Arrested And Exposed As A 35-Year-Old Man",1739,agree,1
Lego letter from the 1970s still offers a powerful message to parents 40 years later,2171,agree,1
Pumpkin Spice condoms? Don't fall for this hoax.,2055,agree,1
"Batmobile stolen in Detroit? Good one, joker!",684,agree,1
Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,2269,agree,1
WHO says reports of suspected Ebola cases in Iraq are untrue,1778,agree,1
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,1837,agree,1
Banksy's illustrated response to the Charlie Hebdo attack isn't by Banksy. But it is striking,2070,agree,1
Doubts cast over Nicaragua meteorite claim,1056,agree,1
Texas City plumber's truck ends up in Syrian war,2379,agree,1
"No, a spider (probably) didn't crawl through a man's body for several days",1923,agree,1
‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,1333,agree,1
SHOCKING: Indian Man's Penis Cut-off After He Was Caught Attempting Rape [Photos],2115,agree,1
Meet the X-BOY: Electric shock turns kid into MAGNETO,1433,agree,1
University Bans Word ‘Freshman’ Because It’s Sexist and Promotes Rape,655,agree,1
Michael Phelps’ ‘girlfriend’ reveals she was born a man – and never told the swimmer,1029,agree,1
BiH: Seven Primary School Students Pregnant After Five-Day Excursion,2097,agree,1
Real-life Magneto boy 'becomes living magnet' after getting massive electric shock from street lamp,887,agree,1
"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",2351,agree,1
Incredible Video Shows A US Marine Surviving Being Shot In The Head By A Sniper In Afghanistan,2046,agree,1
Son Pays Off His Parents’ Mortgage for Christmas,988,agree,1
Government fires employee who skipped work for 24 years,932,agree,1
Christian Bale Exits Steve Jobs Movie (Exclusive),1846,agree,1
Jilted lover chops off his penis after girlfriend dumps him,1410,agree,1
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,2272,agree,1
"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",1247,agree,1
Doubts cast over Nicaragua meteorite claim,1573,agree,1
Rapper Big Bank Hank of Sugarhill Gang dies at 57,993,agree,1
Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,2385,agree,1
Blundering boyfriend burns down college after trying to impress his girlfriend with elaborate marriage proposal,1876,agree,1
YPG Confirms: Gill Rosenberg Not Captured in Kobani,2142,agree,1
"Obama, Outraged Over Beheading, Vows to Stay on Course",1747,agree,1
"Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral",585,agree,1
"Hostage David Haines' Murder 'Evil', PM Says",1989,agree,1
"Taibbi takes time out from First Look after “disagreements.” Can I publish our emails now, Matt?",879,agree,1
Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico,2016,agree,1
Banksy arrest hoax: US website claims street artist caught in Watford,2362,agree,1
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,1410,agree,1
This Selfless Homeless Man Receives $100 & Doesn't Spend A Dime On Himself!,2305,agree,1
Dog Found Abandoned With Suitcase Filled With His Belongings,2483,agree,1
Chinese State Media Warns People To Stop Calling Themselves Dumbledore,1660,agree,1
"Hoax Alert: Father O’Neal, Who Has Met God and Thinks She’s a Woman, Is Made Up (Just Like God Herself)",1549,agree,1
Watch US Marine get shot in HEAD by Taliban sniper - and live to tell tale,1481,agree,1
Josh Paler Lin Gives A Homeless Man $100 And Follows Him To See How He Spends It,2061,agree,1
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,1981,agree,1
WHO says reports of suspected Ebola cases in Iraq are untrue,2180,agree,1
Texas plumber threatened over jihadis using his old truck,2242,agree,1
ESPN’s All-Male “Monday Night Football” Panel On Domestic Violence Is Not Real,2181,agree,1
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,1638,agree,1
Italian fisherman catches monstrous 280-pound catfish,1028,agree,1
Isilkulskom student has gained superhero powers after shock,1433,agree,1
Hoax 'Banksy Arrested in London' Story Dupes the Internet Again,1301,agree,1
Turkish Leader Says U.S. Airdrop Aided ISIS Militants,1363,agree,1
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",2016,agree,1
Italian catches huge wels catfish; is it a record?,188,agree,1
Angry mob cut off rapist’s penis with meat cleaver (VIEWER DISCRETION),830,agree,1
Dog abandoned at Scotland train station with suitcase,2483,agree,1
Lynch Mob Castrates Alleged Rapist In Rajasthan,1022,agree,1
Israeli Canadian fighting ISIS posts on Facebook: I'm safe and secure,2037,agree,1
Cameron vows to hunt down IS 'monsters' after Haines murder,1097,agree,1
Missing Mexican students 'not found in mass grave',1984,agree,1
CARLISLE HEAD SLAPPER ATTACKS SNEEZING WOMEN,1897,agree,1
Dog abandoned at Ayr station with belongings in suitcase,2523,agree,1
Man who SLAPS people if they sneeze in public being hunted by police,1897,agree,1
Police hunting mystery 'slapper' in tweed jacket who attacks people who sneeze in town's high street,438,agree,1
Electric shock turns Russian boy into Marvel's Magneto,497,agree,1
"Tiger Woods is not on suspension for failing a drug test, his agent and a PGA official say",2330,agree,1
"Brian Williams: No, Our Meteorologist Was Not Peeing on Live TV",1968,agree,1
Magic mushroom found growing at Buckingham Palace,1258,agree,1
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",1357,agree,1
An accidental delivery of arms to the Islamic State and the problem with airdrops,2172,agree,1
"Vice's Shane Smith drops $300,000 on Vegas dinner",1239,agree,1
Duped again: Macaulay Culkin is not dead,1559,agree,1
Michael Phelps’ girlfriend Taylor Lianne Chandler reveals she was raised as a boy,1342,agree,1
"Rumors of King Abdullah Flying in Airstrikes Not True, Fox Excited Anyway",2274,agree,1
Boko Haram denies ceasefire claim by Nigeria's government,2272,agree,1
Isilkulskom student has gained superhero powers after shock,80,agree,1
SEE IT: California homeless man uses $100 gift to give food to others,1925,agree,1
Vigilantes cut off alleged rapist's penis,56,agree,1
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,1104,agree,1
Here Are Microsoft's New Robot Security Guards,687,agree,1
Lynch Mob Castrates Alleged Rapist In Rajasthan,1981,agree,1
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",1206,agree,1
Fence-jumper got farther into White House,1365,agree,1
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,1045,agree,1
Sugarhill Gang rapper Big Bank Hank dies at age 57,2080,agree,1
CPWD official sacked for absence from duty for 25 years,1951,agree,1
This Man Paid Off His Parents' Mortgage for Christmas (Video),1567,agree,1
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,2502,agree,1
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,1427,agree,1
Saudi cleric condemns snowmen as anti-Islamic,732,agree,1
Watch: US Marine saved by helmet after being shot by Taliban sniper,44,agree,1
"In Moscow, police are looking for a felon, cut the male genitals",516,agree,1
Big Bank Hank dead: Sugarhill Gang member and rapper dies aged 57,2351,agree,1
Sugarhill Gang co-founder Big Bank Hank dies,2398,agree,1
Video shows dramatic moment bullet strikes U.S. Marine’s head — and he survives thanks to kevlar helmet,2360,agree,1
Video messaging service verifies timing of CNN audio recording,1818,agree,1
A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2020,agree,1
Islamic State fighters detonate 'SCORPION bombs' in terror siege,776,agree,1
Graphic Photo: Oliver Ilic Uses Razor Blade To Slice Off Own Manhood After Girlfriend Broke Up With Him,2496,agree,1
Man Severed Penis That Failed To Impress Girls,1799,agree,1
NET Extra: Back-from-the-dead Catholic priest claims God is a female,2240,agree,1
Report: Christian Bale Just Bailed on the Steve Jobs Movie,2211,agree,1
"It was me! Student, 19, reveals SHE was the Teletubbies' giggling baby in the sky - and was paid just £250 and a box of toys",2076,agree,1
"Man chops off own penis, throws it in a dustbin after poor show in bed",1517,agree,1
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1747,agree,1
Islamist terrorists Jabhat Ansar al-Deen tweet picture of Texas plumber’s truck fitted with anti-aircraft gun in Syria,2242,agree,1
Teacher sex tape exposed as a FAKE after internet detectives trace the origin of pornographic clip,795,agree,1
Indian civil servant sacked 'after 24-year sickie',225,agree,1
"280 Pound Catfish: Fisherman Makes Huge Catch In Italy, Catfish Could Set Record",842,agree,1
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",782,agree,1
Nasa questions whether crater in Nicaragua caused by meteorite,2475,agree,1
North Korea denies reports Kim Jong-un is to open state-backed restaurant in Scotland,1873,agree,1
Photo gallery: Amazing £300 operation by North Walsham vet on constipated goldfish,1541,agree,1
'Jihadi John': Isis fighter named as Mohammed Emwazi from west London,2349,agree,1
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,1423,agree,1
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",1245,agree,1
"North Korean leader Kim Jong-un not missing, just having ankle surgery",2053,agree,1
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1658,agree,1
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,419,agree,1
WTC rats scare off Anna Wintour,821,agree,1
"A message from Jim's mom, Diane Foley:",2450,agree,1
The rats eat Prada at Vogue NY office,2263,agree,1
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1819,agree,1
Ski Resort Opens With Snow Stored From Last Season,1670,agree,1
Sadly Vladimir Putin Hasn’t Been Driving Round In A Motorcade Shaped Like A Penis,2069,agree,1
400 men cut their testicles off believing it would help them meet God,2336,agree,1
That ESPN Domestic Violence Panel You Keep Hearing About Isn't Real,1699,agree,1
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",1400,agree,1
"Everybody Relax, Banksy Wasn’t Arrested And Exposed As A 35-Year-Old Man",2362,agree,1
Lego letter from the 1970s still offers a powerful message to parents 40 years later,1292,agree,1
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,1860,agree,1
Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,1954,agree,1
"ISIS using bombs containing live SCORPIONS in effort to spread panic, in tactic used 2,000 years ago against Romans",1474,agree,1
Someone painted a graffiti dick on a $2.5 million car,2369,agree,1
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,1340,agree,1
'Jihadi John' identified: ISIS killer named as Mohammed Emwazi from West London,1219,agree,1
Seven girls fall pregnant after five day school trip in Bosnia and Herzegovina,2508,agree,1
Texas City plumber's truck ends up in Syrian war,2015,agree,1
eBay is planning an Apple Watch app,70,agree,1
‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,1968,agree,1
Judd Nelson rebuffs Internet rumors that he died of a drug overdose.,139,agree,1
Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,2474,agree,1
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",1140,agree,1
Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,2478,agree,1
Michael Phelps’ ‘girlfriend’ reveals she was born a man – and never told the swimmer,1820,agree,1
Axl Rose NOT Dead: Fake MSNBC Death Hoax Goes Viral On Facebook,2166,agree,1
BiH: Seven Primary School Students Pregnant After Five-Day Excursion,2248,agree,1
"One gunman killed in shooting on Parliament Hill in Ottawa, hunt on for other shooters",2156,agree,1
"BATMOBILE NOT STOLEN, MTV CONTEST PRIZE REMAINS UNCLAIMED",1528,agree,1
Islamic State killer 'Jihadi John' named as Mohammed Emwazi,1374,agree,1
God is a woman- Priest who died for 48 minutes claims,1008,agree,1
Microsoft turns to robotic security guards to watch for trouble,2432,agree,1
Cheese addiction breaks Kim Jong-un's ankles,1480,agree,1
Mohammed Islam Denies Making $72 Million From Stock Market Trading,2407,agree,1
Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,2249,agree,1
"Obama, Outraged Over Beheading, Vows to Stay on Course",2067,agree,1
The pumpkin spice condom is not happening,2055,agree,1
Shocking Photos! Mom Tries To Sell Son To Pay For Daughter's Cancer Treatment,1574,agree,1
You all had an abortion! [Google Translate],2248,agree,1
"IS Beheads Briton David Cawthorne Haines, Threatens to Execute Another Briton, Alan Henning",2440,agree,1
Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico,666,agree,1
Unlucky in love man CHOPS OFF own penis because he was fed up with not having a girlfriend,2212,agree,1
Moment U.S. Marine is saved by his Kevlar helmet as Taliban sniper bullet hits him in head,1481,agree,1
Russian Man Wakes Up to Find His Testicles Have Been Stolen,845,agree,1
Scorned wife leaves love-rat husband and twin sister NAKED in car park,1852,agree,1
1901 Boston time capsule yields small red book,2288,agree,1
Vogue’s Shiny New Office Has a Big Rat Problem,2263,agree,1
"No, a mechanical polar bear is not about to be given an Asbo",2290,agree,1
"Texas Turkey Farm Contaminated With Ebola, Over 250,000 Holiday Turkeys Infected",2210,agree,1
Judd Nelson isn't dead; report is a hoax,2332,agree,1
Dog found abandoned at Scottish train station with suitcase of belongings,1164,agree,1
Kimye’s Fault? Anna Wintour’s NYC ‘Vogue’ Offices Hit With Disgusting Rat Infestation: ‘Rat Droppings On Desks’,2064,agree,1
Pictured: Recent Muslim convert Michael Zehaf-Bibeau who shot dead a solider and opened fire on Canadian Parliament,1554,agree,1
Video messaging service verifies timing of CNN audio recording,1379,agree,1
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,1502,agree,1
Italian fisherman catches monstrous 280-pound catfish,2196,agree,1
Mexican cartel leader kills self; bodies in grave not missing students,1984,agree,1
"No, Banksy hasn’t been arrested",900,agree,1
Christian Bale Won't Play Steve Jobs After All,1846,agree,1
ISIS launch SCORPION BOMBS to spread panic in Iraq,1127,agree,1
"Catholic Priest Dies for 48 Minutes, Comes Back to Life and Claims God Is Female",1849,agree,1
A Bogus Banksy,2375,agree,1
ISIS Blasts 'Scorpion Bombs' At Civilian Areas In Iraq; Mosul Residents Living In Fear,1127,agree,1
"Nun Complains Of Stomach Pains, Later Gives Birth To Baby Boy",2492,agree,1
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",2142,agree,1
"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",532,agree,1
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1966,agree,1
